Timestamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,Size,GeoIP
20:35:19,TCP,192.168.2.19,17863,172.64.80.1,8443,85,N/A
20:35:19,TCP,172.64.80.1,8443,192.168.2.19,17863,79,N/A
20:35:19,TCP,192.168.2.19,17863,172.64.80.1,8443,54,N/A
20:35:19,TCP,192.168.2.19,17863,172.64.80.1,8443,54,N/A
20:35:19,UDP,192.168.2.19,63726,172.217.1.10,443,71,N/A
20:35:20,UDP,192.168.2.19,63726,172.217.1.10,443,71,N/A
20:35:20,UDP,172.217.1.10,443,192.168.2.19,63726,67,N/A
20:35:20,UDP,192.168.2.19,2008,192.168.2.255,2008,62,N/A
20:35:20,UDP,192.168.2.19,2008,192.168.2.255,2008,62,N/A
20:35:20,UDP,192.168.2.13,42607,239.255.255.250,1900,366,N/A
20:35:20,UDP,192.168.2.13,50681,239.255.255.250,1900,422,N/A
20:35:20,UDP,192.168.2.13,56369,239.255.255.250,1900,375,N/A
20:35:20,UDP,192.168.2.13,40141,239.255.255.250,1900,432,N/A
20:35:20,UDP,192.168.2.13,51939,239.255.255.250,1900,420,N/A
20:35:20,UDP,192.168.2.13,57844,239.255.255.250,1900,430,N/A
20:35:20,UDP,192.168.2.19,2008,192.168.2.255,2008,62,N/A
20:35:21,UDP,192.168.2.19,2008,192.168.2.255,2008,62,N/A
20:35:21,TCP,172.64.80.1,8443,192.168.2.19,17310,268,N/A
20:35:21,TCP,172.64.80.1,8443,192.168.2.19,17303,268,N/A
20:35:21,TCP,172.64.80.1,8443,192.168.2.19,17850,268,N/A
20:35:21,TCP,172.64.80.1,8443,192.168.2.19,17863,268,N/A
20:35:21,TCP,172.64.80.1,8443,192.168.2.19,17820,268,N/A
20:35:21,TCP,192.168.2.19,17310,172.64.80.1,8443,54,N/A
20:35:21,TCP,192.168.2.19,17303,172.64.80.1,8443,54,N/A
20:35:21,TCP,192.168.2.19,17303,172.64.80.1,8443,54,N/A
20:35:21,TCP,192.168.2.19,17310,172.64.80.1,8443,54,N/A
20:35:22,TCP,192.168.2.19,17820,172.64.80.1,8443,54,N/A
20:35:22,TCP,192.168.2.19,17863,172.64.80.1,8443,54,N/A
20:35:22,TCP,192.168.2.19,17820,172.64.80.1,8443,54,N/A
20:35:22,TCP,192.168.2.19,17863,172.64.80.1,8443,54,N/A
20:35:22,UDP,192.168.2.19,63726,172.217.1.10,443,71,N/A
20:35:22,UDP,192.168.2.19,63726,172.217.1.10,443,71,N/A
